#{"t_start": 1621568387.765816, "env_id": null}
r,l,t
1.166667,8,100.216924
1.214286,10,100.309876
-0.857143,7,100.527445
-9.642857,16,100.674324
-0.738095,12,100.780613
1.285714,13,100.892491
-0.738095,12,101.019539
1.190476,9,101.098713
1.309524,14,101.233354
1.261905,12,101.353188
-0.738095,12,101.469468
1.119048,6,101.538717
1.142857,7,101.614012
1.166667,8,101.683835
1.214286,10,101.956212
1.166667,8,102.039781
1.261905,12,102.153126
1.214286,10,102.242626
1.285714,13,102.351248
-9.738095,12,102.454527
1.285714,13,102.592453
-0.761905,11,102.689252
1.095238,5,102.737642
-0.833333,8,102.809005
1.238095,11,102.899327
-9.761905,11,102.991331
1.119048,6,103.04968
1.333333,15,103.351975
-0.738095,12,103.471543
-9.714286,13,103.595142
1.119048,6,103.653071
-0.761905,11,103.755225
-0.904762,5,103.810574
1.357143,16,103.957116
1.214286,10,104.060037
1.214286,10,104.153974
-0.809524,9,104.238944
1.238095,11,104.329755
-0.761905,11,104.430809
1.214286,10,104.687718
-0.761905,11,104.790791
-9.666667,15,104.926836
1.214286,10,105.045463
1.214286,10,105.148596
-9.690476,14,105.292039
1.166667,8,105.363726
1.190476,9,105.453527
-0.714286,13,105.597231
-0.880952,6,105.662896
1.214286,10,105.751105
1.285714,13,105.877089
1.119048,6,106.083514
-9.595238,18,106.231281
1.142857,7,106.28919
1.166667,8,106.359465
1.142857,7,106.431455
1.261905,12,106.55172
1.214286,10,106.648385
1.071429,4,106.689466
1.190476,9,106.766416
1.214286,10,106.862985
-0.714286,13,106.99769
1.333333,15,107.133506
1.214286,10,107.368005
-0.785714,10,107.468956
-9.738095,12,107.569941
-0.833333,8,107.648364
1.238095,11,107.748098
1.261905,12,107.854222
1.095238,5,107.904656
1.166667,8,107.978946
1.071429,4,108.018744
1.095238,5,108.065941
1.285714,13,108.171352
1.095238,5,108.217999
1.309524,14,108.341256
1.142857,7,108.400706
1.238095,11,108.496192
-9.761905,11,108.725877
1.190476,9,108.802558
-9.738095,12,108.928883
-9.714286,13,109.042478
-0.690476,14,109.172484
1.238095,11,109.298391
1.190476,9,109.392195
1.285714,13,109.518732
-9.738095,12,109.655265
1.166667,8,109.741408
-9.666667,15,109.989879
-9.809524,9,110.212503
1.142857,7,110.280873
1.285714,13,110.399246
1.214286,10,110.494627
